xw,xe,x,dxw,dxe,dx,CAE,CAEO, CAW, CAWO, CAQ, CAQO, CAC, CACO, AT, ATO, CAP, CAPO, S, T
0,1,0,0,2,1,0,0,0,0,0,0,126.491,0,0,0,1,0,50,50
1,3,2,2,2,2,100,0,100,0,0,0,252.982,0,0,0,452.982,0,5059.64,26.9813
3,5,4,2,2,2,100,0,100,0,0,0,252.982,0,0,0,452.982,0,5059.64,21.6243
5,7,6,2,2,2,100,0,100,0,0,0,252.982,0,0,0,452.982,0,5059.64,20.3763
7,9,8,2,2,2,175,0,100,0,0,0,252.982,0,0,0,527.982,0,5059.64,20.0803
9,12,10,2,4,3,87.5,0,175,0,0,0,268.328,0,0,0,530.828,0,5366.56,20.0272
12,16,14,4,4,4,87.5,0,87.5,0,0,0,357.771,0,0,0,532.771,0,7155.42,20.0045
16,20,18,4,4,4,525,0,87.5,0,0,0,357.771,0,0,0,970.271,0,7155.42,20.0005
20,24,22,4,4,4,525,0,525,0,0,0,1338.66,0,0,0,2388.66,0,26773.1,20.0001
24,28,26,4,4,4,525,0,525,0,0,0,1338.66,0,0,0,2388.66,0,26773.1,20
28,0,30,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,20,20
