Xw,Xe,X,dxw,dxe,dx,CAE,CAEO, CAW, CAWO, CAQ, CAQO, CAC, CACO, AT, ATO, CAP, CAPO, S, T
0,0.002,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,1,0,60,60
0.002,0.006,0.004,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,58.4534
0.006,0.01,0.008,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,57.645
0.01,0.014,0.012,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,57.5424
0.014,0.018,0.016,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,58.1415
0.018,0.022,0.02,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,59.4662
0.022,0.026,0.024,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,61.5696
0.026,0.03,0.028,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,64.5357
0.03,0.034,0.032,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,68.4833
0.034,0.038,0.036,0.004,0.004,0.004,0.015708,0,0.015708,0,0.0125664,0,0.000628319,0,0,0,0.0320442,0,0.0251327,73.5703
0.038,0.04,0.04,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,1,0,80,80
