Xw,Xe,X,dxw,dxe,dx,CAE,CAEO, CAW, CAWO, CAQ, CAQO, CAC, CACO, AT, ATO, CAP, CAPO, S, T
0,0.005,0,0,0.01,0.005,1000,0,0,0,2000,0,0,0,0,0,1000,0,-8000,120
0.005,0.015,0.01,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,128
0.015,0.025,0.02,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,132
0.025,0.035,0.03,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,132
0.035,0.045,0.04,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,128
0.045,0.055,0.05,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,120
0.055,0.065,0.06,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,108
0.065,0.075,0.07,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,92
0.075,0.085,0.08,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,72
0.085,0.095,0.09,0.01,0.01,0.01,1000,0,1000,0,4000,0,0,0,0,0,2000,0,4000,48
0.095,0.1,0.1,0.01,0,0.005,0,0,0,0,2000,0,0,0,0,0,1,0,20,20
