Xw,Xe,X,dxw,dxe,dx,CAE,CAEO, CAW, CAWO, CAQ, CAQO, CAC, CACO, AT, ATO, CAP, CAPO, S, T
0,0.005,0,0,0.01,0.005,2000,0,0,0,0,0,0,0,7500,7500,9500,7500,272031,37.5969
0.005,0.015,0.01,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,638658,42.57
0.015,0.025,0.02,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,712449,47.4895
0.025,0.035,0.03,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,785440,52.3556
0.035,0.045,0.04,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,857639,57.169
0.045,0.055,0.05,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,929059,61.9305
0.055,0.065,0.06,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,999714,66.641
0.065,0.075,0.07,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,1.06962e+06,71.3018
0.075,0.085,0.08,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,1.13881e+06,75.9144
0.085,0.095,0.09,0.01,0.01,0.01,2000,0,2000,0,0,0,0,0,15000,15000,19000,15000,1.2073e+06,80.4804
0.095,0.1,0.1,0.01,0,0.005,0,0,2000,0,0,0,0,0,7500,7500,9600,7500,655055,85.0017
